2022-08-20 08:02:11.277  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:11.282  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:11.288  INFO [authorizationService,3d01aca93d11a711,934bb984d3c59beb] 8812 --- [http-nio-9090-exec-9] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:17.929  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:17.936  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:17.947  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:17.951  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:17.956  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:17.964  INFO [authorizationService,8cfd3dea70870173,cc9c4a71fc5970e4] 8812 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:23.933  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:23.945  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:23.960  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:23.965  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:23.972  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:23.994  INFO [authorizationService,6dc61a6ad4c31d6c,2163a5329d4c14f5] 8812 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:24.855  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:24.864  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:24.877  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:24.884  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:24.914  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:24.924  INFO [authorizationService,ea5842c59f2ca356,bdacbf02ba441a90] 8812 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:25.036  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:25.041  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:25.049  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:25.053  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:25.059  INFO [authorizationService,08a0927a427e09e6,aaf5d7e401106a15] 8812 --- [http-nio-9090-exec-7] c.c.service.CustomUserDetailService      : END - loadUserByUsername
